ride_id,pickup_ts,dropoff_ts,passenger_count,trip_distance,fare_amount,tip_amount,payment_type
313,2024-01-01 02:51:00,2024-01-02 08:54:00,4,5.47,71.73,7.56,cash
314,2024-01-01 06:44:00,2024-01-01 13:44:00,4,12.7,73.15,1.36,card
315,2024-01-01 05:51:00,2024-01-02 13:22:00,4,6.75,64.36,6.35,cash
316,2024-01-01 15:49:00,2024-01-02 16:11:00,2,19.53,39.57,13.95,card
317,2024-01-01 17:31:00,2024-01-01 02:14:00,3,8.29,11.09,7.54,card
318,2024-01-01 17:26:00,2024-01-01 05:15:00,3,13.87,6.19,14.57,card
319,2024-01-01 22:31:00,2024-01-02 08:00:00,2,0.95,40.79,3.88,cash
320,2024-01-01 18:26:00,2024-01-02 23:57:00,2,8.3,42.07,7.57,wallet
321,2024-01-01 07:41:00,2024-01-01 01:18:00,1,17.56,35.55,12.89,card
322,2024-01-01 02:35:00,2024-01-02 08:00:00,2,12.4,47.61,6.72,card
323,2024-01-01 14:45:00,2024-01-01 06:41:00,3,9.16,46.41,4.19,cash
324,2024-01-01 21:59:00,2024-01-02 07:15:00,4,18.75,67.75,12.83,cash
325,2024-01-01 23:24:00,2024-01-02 05:58:00,4,17.15,13.15,5.85,card
326,2024-01-01 05:31:00,2024-01-01 04:29:00,1,6.78,21.89,7.96,cash
327,2024-01-01 05:40:00,2024-01-02 08:43:00,3,11.12,64.48,14.65,cash
328,2024-01-01 00:53:00,2024-01-02 19:04:00,1,10.05,68.59,2.8,cash
329,2024-01-01 03:23:00,2024-01-02 17:28:00,3,12.83,79.61,4.52,card
330,2024-01-01 13:18:00,2024-01-01 01:33:00,2,7.02,70.47,0.47,wallet
331,2024-01-01 13:07:00,2024-01-01 11:55:00,2,5.26,71.74,5.88,card
332,2024-01-01 08:54:00,2024-01-01 11:41:00,3,18.3,28.58,3.0,cash
333,2024-01-01 07:26:00,2024-01-01 21:50:00,2,18.52,35.12,10.2,card
334,2024-01-01 19:54:00,2024-01-01 07:00:00,4,16.94,25.11,2.72,card
335,2024-01-01 11:02:00,2024-01-02 17:01:00,3,19.57,50.47,10.12,card
336,2024-01-01 19:23:00,2024-01-02 13:19:00,4,15.03,75.41,3.95,card
337,2024-01-01 23:07:00,2024-01-02 14:49:00,3,15.41,30.85,5.33,card
338,2024-01-01 07:36:00,2024-01-01 09:38:00,2,15.37,46.78,5.23,card
339,2024-01-01 04:51:00,2024-01-01 00:51:00,4,9.87,27.22,10.75,card
340,2024-01-01 22:52:00,2024-01-02 19:43:00,2,9.4,17.73,7.0,card
341,2024-01-01 15:14:00,2024-01-01 13:59:00,3,5.18,19.64,5.42,cash
342,2024-01-01 06:58:00,2024-01-02 07:33:00,1,13.07,9.35,12.79,cash
343,2024-01-01 14:55:00,2024-01-02 19:40:00,1,6.14,76.2,8.58,cash
344,2024-01-01 12:21:00,2024-01-01 01:53:00,3,5.53,35.22,3.21,card
345,2024-01-01 21:43:00,2024-01-01 00:25:00,1,11.93,67.56,13.5,card
346,2024-01-01 06:08:00,2024-01-01 00:25:00,4,8.49,56.1,5.14,wallet
347,2024-01-01 23:47:00,2024-01-01 07:38:00,4,4.77,19.39,0.58,card
348,2024-01-01 22:27:00,2024-01-01 02:38:00,3,16.41,18.16,7.42,card
349,2024-01-01 04:20:00,2024-01-02 15:23:00,3,17.28,65.9,1.86,wallet
350,2024-01-01 03:57:00,2024-01-02 05:09:00,3,3.77,24.85,3.58,wallet
351,2024-01-01 12:47:00,2024-01-02 23:02:00,1,0.65,73.5,11.21,card
352,2024-01-01 01:04:00,2024-01-02 14:30:00,2,7.05,15.5,1.96,cash
353,2024-01-01 07:10:00,2024-01-02 22:14:00,2,16.05,55.83,12.1,card
354,2024-01-01 10:26:00,2024-01-01 11:34:00,4,16.86,66.09,14.05,cash
355,2024-01-01 23:15:00,2024-01-01 13:55:00,1,3.2,22.64,9.1,card
356,2024-01-01 23:49:00,2024-01-02 16:47:00,2,15.6,25.72,10.66,card
357,2024-01-01 03:38:00,2024-01-01 11:52:00,2,2.76,77.34,10.7,cash
358,2024-01-01 21:24:00,2024-01-01 02:54:00,1,8.11,24.84,14.89,card
359,2024-01-01 02:10:00,2024-01-02 08:10:00,1,19.97,37.25,5.12,cash
360,2024-01-01 17:57:00,2024-01-02 14:28:00,2,4.26,37.44,2.44,card
361,2024-01-01 20:17:00,2024-01-02 22:28:00,1,3.5,23.98,7.79,cash
362,2024-01-01 21:22:00,2024-01-02 20:32:00,1,8.74,63.18,8.0,cash
363,2024-01-01 05:21:00,2024-01-01 05:55:00,2,12.58,62.89,2.67,card
364,2024-01-01 21:26:00,2024-01-02 13:05:00,1,18.69,33.37,9.2,cash
365,2024-01-01 02:47:00,2024-01-02 16:38:00,3,19.63,67.63,0.21,card
366,2024-01-01 12:27:00,2024-01-02 09:33:00,1,1.86,20.98,13.92,card
367,2024-01-01 11:16:00,2024-01-02 15:22:00,2,3.19,5.32,3.97,card
368,2024-01-01 07:34:00,2024-01-02 16:15:00,2,15.92,47.84,0.59,cash
369,2024-01-01 00:31:00,2024-01-01 21:31:00,4,5.78,79.56,1.62,cash
370,2024-01-01 18:31:00,2024-01-01 02:05:00,3,17.75,7.9,3.6,wallet
371,2024-01-01 08:03:00,2024-01-01 21:59:00,4,13.44,20.6,4.11,cash
372,2024-01-01 15:52:00,2024-01-01 09:49:00,2,2.68,43.92,0.49,wallet
373,2024-01-01 09:50:00,2024-01-01 05:36:00,2,16.73,65.75,4.19,card
374,2024-01-01 08:58:00,2024-01-01 06:08:00,2,3.94,11.68,2.89,wallet
375,2024-01-01 21:16:00,2024-01-02 09:31:00,4,8.76,34.64,5.68,card
376,2024-01-01 02:16:00,2024-01-02 00:18:00,4,11.27,61.03,5.78,card
377,2024-01-01 17:40:00,2024-01-02 01:59:00,4,10.26,32.87,5.09,card
378,2024-01-01 17:55:00,2024-01-02 11:48:00,4,13.88,19.16,4.92,card
379,2024-01-01 09:07:00,2024-01-02 02:23:00,3,13.23,19.66,1.35,card
380,2024-01-01 06:17:00,2024-01-02 06:18:00,3,19.84,35.75,0.38,card
381,2024-01-01 00:07:00,2024-01-01 04:16:00,4,19.99,40.96,3.03,card
382,2024-01-01 22:29:00,2024-01-02 16:52:00,2,10.57,69.64,11.35,card
383,2024-01-01 22:44:00,2024-01-01 21:38:00,2,2.36,53.17,14.86,cash
384,2024-01-01 05:46:00,2024-01-01 07:35:00,4,14.69,56.78,13.93,cash
385,2024-01-01 00:45:00,2024-01-02 15:04:00,2,19.54,78.72,7.56,card
386,2024-01-01 02:56:00,2024-01-02 11:18:00,1,6.71,35.89,7.98,card
387,2024-01-01 01:37:00,2024-01-01 02:42:00,3,9.49,35.25,4.72,card
388,2024-01-01 19:56:00,2024-01-01 09:24:00,2,8.78,74.25,11.61,card
389,2024-01-01 21:24:00,2024-01-01 00:55:00,4,1.5,23.44,11.47,cash
390,2024-01-01 03:40:00,2024-01-01 13:07:00,4,13.61,59.74,12.66,card
391,2024-01-01 17:55:00,2024-01-01 04:56:00,2,7.39,61.59,13.43,cash
392,2024-01-01 04:18:00,2024-01-02 10:07:00,3,15.86,12.33,6.52,cash
393,2024-01-01 08:48:00,2024-01-02 01:09:00,4,16.73,40.12,11.5,card
394,2024-01-01 14:23:00,2024-01-02 23:03:00,3,16.51,20.04,12.1,cash
395,2024-01-01 17:16:00,2024-01-02 12:00:00,1,8.62,18.9,4.63,card
396,2024-01-01 20:59:00,2024-01-02 05:25:00,3,6.77,39.79,13.94,cash
397,2024-01-01 01:04:00,2024-01-02 00:31:00,3,15.1,26.71,1.42,cash
398,2024-01-01 04:42:00,2024-01-01 02:46:00,3,16.13,64.7,14.91,cash
399,2024-01-01 06:43:00,2024-01-01 03:31:00,1,10.08,73.07,11.55,cash
400,2024-01-01 07:26:00,2024-01-02 05:38:00,2,17.91,65.2,1.4,cash
401,2024-01-01 23:57:00,2024-01-01 00:22:00,4,3.31,24.95,9.84,wallet
402,2024-01-01 18:39:00,2024-01-01 02:11:00,1,17.64,25.56,0.51,card
403,2024-01-01 07:41:00,2024-01-01 10:38:00,2,2.37,24.1,11.55,cash
404,2024-01-01 23:19:00,2024-01-02 18:27:00,2,3.49,15.13,11.99,cash
405,2024-01-01 11:59:00,2024-01-01 22:07:00,1,10.91,75.78,9.04,card
406,2024-01-01 12:01:00,2024-01-02 10:06:00,1,1.82,35.15,12.85,wallet
407,2024-01-01 10:24:00,2024-01-01 19:51:00,2,1.53,21.85,1.47,card
408,2024-01-01 03:27:00,2024-01-01 08:26:00,4,0.51,68.5,4.14,card
409,2024-01-01 22:25:00,2024-01-01 17:55:00,1,9.01,34.94,6.21,card
410,2024-01-01 00:20:00,2024-01-01 04:33:00,2,15.61,7.63,0.64,card
411,2024-01-01 04:10:00,2024-01-02 13:00:00,1,1.18,17.15,6.72,cash
412,2024-01-01 05:30:00,2024-01-01 08:56:00,3,13.22,52.94,3.98,card
413,2024-01-01 06:42:00,2024-01-01 18:10:00,2,16.55,63.72,5.89,card
414,2024-01-01 03:09:00,2024-01-02 23:02:00,4,3.78,20.82,6.38,card
415,2024-01-01 00:25:00,2024-01-02 04:28:00,3,3.36,73.8,13.19,card
416,2024-01-01 16:15:00,2024-01-01 22:06:00,4,17.29,68.82,4.06,cash
417,2024-01-01 23:15:00,2024-01-02 02:08:00,3,16.55,68.63,13.41,cash
418,2024-01-01 02:55:00,2024-01-02 13:40:00,2,11.01,22.07,6.39,card
419,2024-01-01 07:07:00,2024-01-01 12:20:00,4,16.47,8.79,4.92,card
420,2024-01-01 12:09:00,2024-01-02 06:36:00,2,2.31,70.06,7.54,card
421,2024-01-01 22:15:00,2024-01-02 17:54:00,4,8.19,27.94,6.27,cash
422,2024-01-01 16:39:00,2024-01-02 03:32:00,4,14.89,51.42,3.86,card
423,2024-01-01 18:23:00,2024-01-01 21:31:00,3,5.52,62.0,7.54,card
424,2024-01-01 13:56:00,2024-01-01 07:06:00,3,15.17,14.62,2.28,card
425,2024-01-01 10:00:00,2024-01-01 12:02:00,2,10.33,63.56,5.28,card
426,2024-01-01 04:47:00,2024-01-02 21:25:00,4,15.13,75.39,8.49,card
427,2024-01-01 20:44:00,2024-01-02 02:03:00,3,9.56,59.63,6.2,card
428,2024-01-01 19:17:00,2024-01-01 14:34:00,4,7.67,38.09,12.36,cash
429,2024-01-01 00:36:00,2024-01-01 20:10:00,2,4.77,70.75,3.85,cash
430,2024-01-01 17:10:00,2024-01-02 03:48:00,4,4.56,44.56,14.55,card
431,2024-01-01 02:01:00,2024-01-02 01:52:00,2,15.15,60.86,11.77,cash
432,2024-01-01 17:44:00,2024-01-02 09:38:00,1,2.82,66.54,14.51,cash
433,2024-01-01 19:49:00,2024-01-01 12:29:00,1,2.18,61.2,12.57,card
434,2024-01-01 03:08:00,2024-01-02 07:13:00,3,3.94,26.59,2.13,card
435,2024-01-01 10:24:00,2024-01-01 21:20:00,2,3.92,13.84,7.9,card
436,2024-01-01 02:58:00,2024-01-02 21:09:00,1,16.55,22.88,2.55,cash
437,2024-01-01 13:36:00,2024-01-01 07:43:00,2,8.27,42.72,12.27,card
438,2024-01-01 22:15:00,2024-01-01 07:16:00,3,19.81,42.9,8.76,cash
439,2024-01-01 01:56:00,2024-01-01 22:14:00,2,3.18,48.7,3.95,card
440,2024-01-01 09:32:00,2024-01-02 00:28:00,4,13.24,34.63,13.94,card
441,2024-01-01 23:21:00,2024-01-02 09:12:00,4,9.25,64.02,1.73,wallet
442,2024-01-01 07:13:00,2024-01-01 19:29:00,3,8.16,73.49,8.46,card
443,2024-01-01 03:10:00,2024-01-02 19:52:00,4,17.56,23.5,10.82,cash
444,2024-01-01 11:43:00,2024-01-01 22:50:00,2,19.52,60.24,0.88,wallet
445,2024-01-01 12:12:00,2024-01-01 06:21:00,1,17.52,55.85,8.97,cash
446,2024-01-01 15:54:00,2024-01-01 05:52:00,1,4.25,44.23,12.24,card
447,2024-01-01 07:31:00,2024-01-02 22:43:00,4,4.81,19.14,1.01,cash
448,2024-01-01 22:56:00,2024-01-01 06:34:00,4,13.29,64.64,7.68,card
449,2024-01-01 12:30:00,2024-01-02 21:30:00,3,6.14,77.05,3.88,card
450,2024-01-01 06:52:00,2024-01-01 13:28:00,1,14.83,59.14,9.94,cash
451,2024-01-01 23:02:00,2024-01-01 04:38:00,2,11.55,73.84,1.78,cash
452,2024-01-01 22:11:00,2024-01-01 14:44:00,1,11.24,78.81,14.06,card
453,2024-01-01 11:58:00,2024-01-02 05:34:00,1,16.66,31.4,13.42,card
454,2024-01-01 00:35:00,2024-01-01 20:38:00,1,14.36,52.87,2.79,cash
455,2024-01-01 14:19:00,2024-01-02 13:44:00,3,1.02,40.54,4.85,cash
456,2024-01-01 13:19:00,2024-01-02 05:23:00,1,1.46,79.0,8.81,card
457,2024-01-01 03:33:00,2024-01-01 19:20:00,4,12.23,12.04,10.77,cash
458,2024-01-01 15:12:00,2024-01-02 06:31:00,2,9.98,35.93,6.64,card
459,2024-01-01 20:10:00,2024-01-02 22:38:00,2,5.57,70.67,2.34,card
460,2024-01-01 02:32:00,2024-01-01 19:51:00,3,8.66,26.3,1.56,cash
461,2024-01-01 17:21:00,2024-01-01 07:30:00,4,15.28,64.08,15.0,wallet
462,2024-01-01 03:22:00,2024-01-01 19:43:00,2,16.62,33.71,6.83,card
463,2024-01-01 17:58:00,2024-01-02 16:21:00,1,11.44,78.5,13.09,card
464,2024-01-01 10:03:00,2024-01-01 10:34:00,1,8.01,71.26,7.24,card
465,2024-01-01 00:09:00,2024-01-02 21:34:00,4,5.78,27.6,13.84,cash
466,2024-01-01 23:11:00,2024-01-02 04:18:00,1,10.68,62.76,1.32,card
467,2024-01-01 03:58:00,2024-01-02 04:56:00,3,6.64,30.26,1.71,card
468,2024-01-01 14:18:00,2024-01-01 15:19:00,2,11.5,50.48,13.94,wallet
469,2024-01-01 04:21:00,2024-01-02 20:11:00,4,13.69,54.39,14.21,card
470,2024-01-01 22:23:00,2024-01-01 01:53:00,1,1.79,67.22,4.72,card
471,2024-01-01 17:43:00,2024-01-01 14:27:00,4,0.52,6.83,5.33,card
472,2024-01-01 19:18:00,2024-01-01 20:10:00,3,4.64,21.51,6.79,cash
473,2024-01-01 10:22:00,2024-01-01 22:59:00,2,17.94,58.39,6.24,card
474,2024-01-01 11:13:00,2024-01-01 22:50:00,1,13.1,47.26,2.85,card
475,2024-01-01 15:13:00,2024-01-01 07:14:00,4,3.85,42.17,13.48,card
476,2024-01-01 18:50:00,2024-01-01 10:57:00,2,17.86,9.14,3.8,cash
477,2024-01-01 20:19:00,2024-01-01 04:43:00,2,9.66,31.12,10.58,cash
478,2024-01-01 00:25:00,2024-01-02 03:32:00,2,9.78,69.88,1.01,card
479,2024-01-01 15:55:00,2024-01-01 16:56:00,1,18.74,7.32,0.58,card
480,2024-01-01 02:37:00,2024-01-02 03:13:00,2,1.66,34.73,9.81,cash
481,2024-01-01 06:54:00,2024-01-02 04:22:00,1,4.7,75.89,5.09,card
482,2024-01-01 19:54:00,2024-01-02 09:44:00,1,11.92,8.82,9.83,card
483,2024-01-01 06:00:00,2024-01-02 02:19:00,2,4.31,61.23,1.41,card
484,2024-01-01 19:07:00,2024-01-02 07:09:00,1,13.75,24.32,14.25,card
485,2024-01-01 11:06:00,2024-01-02 04:15:00,2,4.67,70.0,11.23,card
486,2024-01-01 05:35:00,2024-01-02 07:22:00,4,2.43,60.96,13.14,card
487,2024-01-01 08:01:00,2024-01-02 05:39:00,1,4.54,71.43,2.05,card
488,2024-01-01 12:44:00,2024-01-01 15:17:00,1,8.74,21.19,4.8,card
489,2024-01-01 18:21:00,2024-01-01 11:56:00,1,3.93,44.85,5.53,cash
490,2024-01-01 14:32:00,2024-01-02 13:49:00,3,3.13,63.45,8.06,card
491,2024-01-01 22:23:00,2024-01-01 16:33:00,2,17.28,23.43,4.45,card
492,2024-01-01 20:49:00,2024-01-02 02:26:00,2,6.75,22.31,0.91,cash
493,2024-01-01 18:04:00,2024-01-01 09:35:00,1,7.53,7.04,5.53,card
494,2024-01-01 14:28:00,2024-01-01 20:48:00,2,1.58,76.89,3.82,cash
495,2024-01-01 06:57:00,2024-01-02 01:30:00,2,7.47,58.25,5.79,card
496,2024-01-01 09:54:00,2024-01-02 06:06:00,2,5.66,52.67,2.95,cash
497,2024-01-01 02:51:00,2024-01-02 01:20:00,3,12.4,60.8,3.93,card
498,2024-01-01 08:58:00,2024-01-01 17:25:00,4,4.51,44.87,9.4,card
499,2024-01-01 22:14:00,2024-01-02 22:10:00,2,17.82,40.71,5.82,card
500,2024-01-01 10:13:00,2024-01-02 00:41:00,4,18.63,38.71,5.18,card
